,Code,Cultural sites
0,AFG,2
1,AGO,1
2,ALB,3
3,AND,1
4,ARE,1
5,ARG,7
6,ARM,3
7,ATG,1
8,AUS,8
9,AUT,11
10,AZE,4
11,BEL,15
12,BEN,2
13,BFA,3
14,BGD,2
15,BGR,7
16,BHR,3
17,BIH,3
18,BLR,3
19,BOL,6
20,BRA,16
21,BRB,1
22,BWA,1
23,CAN,11
24,CHE,9
25,CHL,7
26,CHN,44
27,CIV,2
28,COL,7
29,CPV,1
30,CRI,1
31,CUB,7
32,CYP,3
33,CZE,16
34,DEU,51
35,DNK,8
36,DOM,1
37,DZA,7
38,ECU,3
39,EGY,6
40,ERI,1
41,ESP,46
42,EST,2
43,ETH,10
44,FIN,6
45,FJI,1
46,FRA,46
47,FSM,1
48,GAB,1
49,GBR,30
50,GEO,3
51,GHA,2
52,GMB,2
53,GRC,19
54,GTM,4
55,HND,1
56,HRV,8
57,HTI,1
58,HUN,7
59,IDN,6
60,IND,36
61,IRL,2
62,IRN,26
63,IRQ,6
64,ISL,1
65,ISR,9
66,ITA,54
67,JAM,1
68,JOR,7
69,JPN,21
70,KAZ,3
71,KEN,5
72,KGZ,2
73,KHM,4
74,KNA,1
75,KOR,14
76,LAO,3
77,LBN,6
78,LBY,5
79,LKA,6
80,LSO,1
81,LTU,5
82,LUX,1
83,LVA,3
84,MAR,9
85,MDA,1
86,MDG,1
87,MEX,29
88,MHL,1
89,MKD,1
90,MLI,4
91,MLT,3
92,MMR,2
93,MNE,3
94,MNG,4
95,MOZ,1
96,MRT,1
97,MUS,2
98,MWI,1
99,MYS,3
100,NAM,1
101,NER,1
102,NGA,2
103,NIC,2
104,NLD,12
105,NOR,7
106,NPL,2
107,NZL,1
108,OMN,5
109,PAK,6
110,PAN,2
111,PER,11
112,PHL,3
113,PLW,1
114,PNG,1
115,POL,15
116,PRK,2
117,PRT,16
118,PRY,1
119,PSE,5
120,QAT,1
121,ROU,9
122,RUS,21
123,RWA,1
124,SAU,7
125,SDN,2
126,SEN,5
127,SGP,1
128,SLV,1
129,SMR,1
130,SRB,5
131,SUR,2
132,SVK,6
133,SVN,3
134,SWE,14
135,SYR,6
136,TCD,1
137,TGO,1
138,THA,5
139,TJK,2
140,TKM,4
141,TUN,8
142,TUR,21
143,TZA,4
144,UGA,1
145,UKR,7
146,URY,3
147,USA,14
148,UZB,5
149,VAT,2
150,VEN,2
151,VNM,6
152,VUT,1
153,YEM,4
154,ZAF,8
155,ZWE,3
