,Code,Hotel guests
0,ABW,841400
1,AGO,354000
2,ALB,392600
3,ARE,16728579
4,ARG,4165600
5,ATG,213000
6,AUS,4212600
7,AUT,21218600
8,AZE,961000
9,BEL,6362000
10,BFA,149000
11,BGR,3492600
12,BHR,3477200
13,BHS,1359200
14,BIH,874800
15,BLR,914400
16,BMU,185400
17,BOL,588800
18,BRN,179600
19,BWA,330800
20,CAF,22060
21,CHE,9849200
22,CHL,3758400
23,CHN,97944800
24,CMR,499200
25,COD,34000
26,COG,213200
27,CPV,650800
28,CUB,3495600
29,CUW,277600
30,CYM,327600
31,CYP,2397000
32,CZE,9120200
33,DEU,33234400
34,DJI,57600
35,DMA,27400
36,DNK,3097000
37,DZA,701400
38,ECU,1449400
39,EGY,6889000
40,ESP,51890400
41,EST,1900000
42,FIN,2689000
43,FRA,35512800
44,GBR,20792600
45,GEO,2135600
46,GIN,24700
47,GLP,478600
48,GRC,15927400
49,GRD,96400
50,GUF,25600
51,GUM,1185400
52,GUY,99800
53,HRV,5966600
54,HUN,4993600
55,IDN,15186800
56,IRL,4417000
57,IRN,329800
58,ISL,2800200
59,ISR,3552800
60,ITA,45213800
61,JAM,1630000
62,JOR,1966000
63,JPN,51055600
64,KGZ,80600
65,KOR,11616400
66,KWT,184200
67,LBN,843200
68,LBY,47600
69,LCA,306400
70,LIE,66740
71,LTU,1354800
72,LUX,834400
73,LVA,1602400
74,MAC,12062200
75,MAR,4593400
76,MCO,346400
77,MDA,129560
78,MEX,20547000
79,MKD,589000
80,MLI,19300
81,MLT,1502600
82,MNE,859800
83,MOZ,223200
84,MSR,3600
85,MTQ,148800
86,MUS,976800
87,MWI,527000
88,MYS,27669400
89,NAM,365200
90,NCL,127200
91,NIC,330600
92,NLD,13702200
93,NOR,4006600
94,OWID_SRM,221666
95,PAK,1819800
96,PAN,1374600
97,PER,7875000
98,PHL,929000
99,POL,5924000
100,PRI,1612400
101,PRT,11760800
102,PRY,159000
103,PSE,525800
104,PYF,184200
105,QAT,992000
106,REU,169400
107,ROU,2541800
108,RUS,7029600
109,SAU,13878800
110,SEN,750000
111,SGP,9598800
112,SLV,723400
113,SMR,60400
114,SRB,1327200
115,SUR,97800
116,SVK,1763800
117,SVN,2440800
118,SWE,4701000
119,SWZ,289600
120,SYC,294600
121,SYR,223620
122,TCD,62200
123,TGO,514800
124,THA,56006600
125,TLS,11100
126,TUN,3109400
127,TUR,26288000
128,UKR,819000
129,URY,1394000
130,USA,29947546
131,UZB,1016000
132,VCT,28000
133,VEN,396600
134,VGB,148400
135,VIR,542400
136,VUT,179800
137,WSM,53540
138,ZWE,287200
